INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
Buena Vista University,Storm Lake,IA,2,0.6955,1050,11004,0.8421,0.4897,17879,0.5265,0.078,35700,0.693
Central College,Pella,IA,2,0.658,1089,14535,0.7483,0.2678,27000,0.6493,0.041,38600,0.8281
Clarke University,Dubuque,IA,2,0.7752,1048,15322,0.7859,0.395,20500,0.6952,0.061,38100,0.7613
Coe College,Cedar Rapids,IA,2,0.6171,1166,12732,0.7199,0.283,21875,0.6667,0.059,40300,0.7879
Cornell College,Mount Vernon,IA,2,0.6411,1182,12337,0.7331,0.3449,25015,0.6772,0.04,35900,0.8272
Dordt College,Sioux Center,IA,2,0.7542,1119,14324,0.651,0.3106,19500,0.623,0.014,36000,0.8041
Drake University,Des Moines,IA,2,0.6595,1240,18444,0.5311,0.1715,21500,0.727,0.029,57200,0.875
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,2,0.6693,1028,9772,0.5709,0.5364,12000,0.5934,0.029,28500,0.7021
Graceland University-Lamoni,Lamoni,IA,2,0.5018,969,10433,0.6903,0.3973,18089.5,0.4704,0.092,34500,0.7031
Grand View University,Des Moines,IA,2,0.9542,979,13494,0.7132,0.4574,18500,0.4795,0.091,38500,0.6873
Grinnell College,Grinnell,IA,2,0.3506,1357,15346,0.4158,0.2097,10022.5,0.8568,0.03,41200,0.9324
Iowa State University,Ames,IA,1,0.8252,1145,9395,0.5519,0.2263,19750,0.681,0.051,44400,0.8713
Iowa Wesleyan College,Mount Pleasant,IA,2,0.6012,1005,12505,0.8341,0.5038,16595.5,0.2992,0.149,31400,0.4375
Loras College,Dubuque,IA,2,0.6903,1088,12625,0.7572,0.2441,24225,0.609,0.054,38600,0.8102
Luther College,Decorah,IA,2,0.7212,1175,16383,0.6874,0.1929,26902,0.7602,0.032,38500,0.8711
Morningside College,Sioux City,IA,2,0.5337,1050,10189,0.7934,0.3527,19932,0.5799,0.037,36400,0.7326
Mount Mercy University,Cedar Rapids,IA,2,0.6845,1010,14864,0.774,0.3397,19500,0.7286,0.055,41000,0.8228
Northwestern College,Orange City,IA,2,0.7609,1095,11921,0.7062,0.3222,20500,0.6327,0.024,32900,0.7914
Saint Ambrose University,Davenport,IA,2,0.9617,1050,15956,0.7051,0.2581,20500,0.613,0.067,40800,0.8021
Simpson College,Indianola,IA,2,0.8802,1105,11958,0.7337,0.2972,22500,0.6494,0.035,40500,0.7892
University of Dubuque,Dubuque,IA,2,0.7742,926,18183,0.8222,0.5495,17114,0.468,0.086,33700,0.6393
University of Iowa,Iowa City,IA,1,0.8023,1208,13317,0.4722,0.1906,18692.5,0.6962,0.041,47300,0.8584
University of Northern Iowa,Cedar Falls,IA,1,0.8331,1030,5818,0.6131,0.2704,18500,0.6649,0.048,39700,0.83
Upper Iowa University,Fayette,IA,2,0.5818,1010,8892,0.7042,0.4312,15882.5,0.3963,0.083,39800,0.722
Waldorf College,Forest City,IA,3,0.5067,980,9351,0.7025,0.4982,12000,0.4255,0.118,31500,0.487
Wartburg College,Waverly,IA,2,0.7765,1077,15149,0.6875,0.2519,24124,0.6262,0.046,39700,0.8091
William Penn University,Oskaloosa,IA,2,0.5766,926,8602,0.8033,0.4977,18740,0.3978,0.134,40100,0.6094
Aurora University,Aurora,IL,2,0.7595,1011,11016,0.7184,0.3911,15000,0.576,0.06,36800,0.7345
Benedictine University,Lisle,IL,2,0.695,1030,11908,0.5865,0.3644,17188,0.5247,0.045,45300,0.7322
Blackburn College,Carlinville,IL,2,0.6799,1034,12449,0.838,0.5273,14000,0.4514,0.106,34500,0.7333
Bradley University,Peoria,IL,2,0.6694,1163,18539,0.6731,0.2681,23677,0.7563,0.029,46000,0.8808
Chicago State University,Chicago,IL,1,0.2865,892,8139,0.8495,0.6873,20862.5,0.207,0.138,32600,0.5361
Concordia University-Chicago,River Forest,IL,2,0.5441,1030,13210,0.7873,0.4521,15750,0.5348,0.035,37300,0.673
DePaul University,Chicago,IL,2,0.5987,1163,21544,0.5915,0.3448,20500,0.7047,0.06,46400,0.8536
Dominican University,River Forest,IL,2,0.5997,1031,14554,0.6566,0.4401,18656,0.6311,0.058,39800,0.8247
Eastern Illinois University,Charleston,IL,1,0.6191,1010,7891,0.6699,0.3923,18750,0.6033,0.062,36300,0.7707
