wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
7,1,0,0,23,20,1,3,2,0.3058835711439709,0,1,0,0,1,0,0,31.77648529415056,4,1.580880357111937,0
0,1,0,0,0,0,2,2,0,2,198,0,1,0,0.13263171556817827,0,0,0,0,0.20662551878594707,0
1,1,0,6,0,12,1,0,2,0.5764568777567197,0,1,0,0,0.7453860188101386,0,0,0,0,0.8920590525953519,0
4,1,0,8,0,0,5,0,0,2,108,0,1,0,0.914636122295471,0,0,0,0,0.7927904058369801,0
0,1,0,0,12,32,3,3,3,1.8245006000487296,203,0,0,0,0.6095714562808378,0,0,9.635260153615086,0,1.2534149088023219,0
6,1,0,13,16,0,15,4,6,0.10525125213931141,0,1,0,0,0.5871570658906499,0,0,5.2567128631346645,1,0.7161634890655718,0
4,2,0,10,27,21,3,5,1,1.7252919380812495,0,1,0,1,1,0,0,59.97558662582861,0,0.27075713798370876,0
1,1,0,0,7,0,4,0,2,0,218,1,0,0,0.8010252641602312,0,0,24.094565126326327,3,1.1661878628141087,0
3,1,0,4,27,11,0,6,7,0.6838736877196203,200,1,0,0,0.9212184181384755,0,0,21.961752754044685,4,0.9241948508753137,0
0,1,0,0,11,0,0,2,1,0.8053464317426362,211,1,0,0,0.7899240017830602,0,0,26.040687561667486,3,0.8161470514079593,0
3,3,0,6,26,18,0,3,4,0.49581086264770985,233,1,0,1,0.7129536462713087,1,1,12.40520704140727,1,0.5877914760616519,0
3,1,0,1,14,13,2,3,3,0.5872367262804368,238,1,1,0,0.7862454619329864,0,0,19.017407257995558,6,2.2,0
6,3,0,2,9,0,0,7,5,0,255,1,1,1,0.9005434258834368,0,0,40.29213159845967,2,0.8256173253846357,0
3,1,0,7,19,20,1,6,4,0.3015858555045801,0,1,0,0,0.6717688346943043,0,0,2.836869133486466,4,1.0300578947658752,0
3,1,0,0,13,12,3,0,4,0.30833153759050846,0,1,0,0,0.4546453516538147,0,0,26.447374765070396,1,0.7733842399158417,0
21,4,0,11,74,109,1,9,14,0.634457944764448,721,1,2,1,0.24067385888694182,1,1,25.34746217014682,6,1.5226253630468365,1
22,4,0,13,82,165,3,16,16,0.6516506170018973,806,1,1,1,0.05218944753902824,3,3,38.57892349967371,3,1.4385314334925798,1
21,1,0,16,53,82,16,6,16,1.01678248210504,159,1,1,0,0.2329762615443775,0,0,17.33054758193465,3,1.5287093258265374,1
22,1,0,21,69,165,9,14,16,1.0593027390480168,391,1,4,0,0.03839028265447661,0,0,40.4221349389734,7,1.445159232320613,1
16,1,0,10,82,77,0,9,0,0.6684543321303534,1253,1,0,0,0.2602163367086242,0,0,77.32185661551819,5,2.2,1
