wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
11,1,0,16,38,0,1,10,7,0.6693184169842749,234,1,0,0,0.5178291364182159,0,2,35.51500950407669,2,1.3577697446228614,0
8,1,0,12,33,0,1,5,5,0.6555305702814459,205,1,0,0,0.5243330780653109,0,0,28.28428847443309,5,1.5690540553097625,0
10,1,0,8,25,0,1,12,7,0.541666667,259,1,0,0,0.4960851568963289,0,0,28.629910766366187,5,1.657684406995935,0
7,1,0,13,24,0,2,16,7,0.6669410875492331,386,1,0,0,0.5197013686647354,0,2,29.773094644141295,5,1.6430904084413052,0
8,1,0,7,36,0,1,6,5,0.6409040178961615,341,1,0,0,0.5146749571651251,0,2,25.87066430773358,3,1.1016119276364873,0
7,1,0,15,31,0,1,8,4,0.541666667,415,1,0,0,0.5070179866345621,0,2,34.062481366666205,6,1.6184940906538685,0
7,1,0,6,33,0,1,11,7,0.6446363458176468,254,1,0,0,0.5124819342836847,0,0,28.50143271322035,7,1.5379067914903262,0
8,1,0,8,40,0,1,7,5,0.6434509333639242,404,1,0,0,0.49457942639710323,0,1,28.266126584547216,3,1.6356266408397637,0
10,1,0,17,57,0,1,16,7,0.541666667,591,1,0,0,0.345454545,0,0,37.69555423091326,3,1.2790264419696205,0
7,1,0,3,12,0,1,2,7,0.6526439296651466,117,1,0,0,0.3961841847422613,0,1,22.157910661440045,2,1.4466197067135815,0
13,1,0,9,54,0,1,14,7,0.600190789522767,591,1,0,0,0.345454545,0,2,41.453779418068024,5,1.581093200177341,0
7,1,0,20,48,0,1,19,5,0.541666667,256,1,0,0,0.4071580765884041,0,1,38.62458582033479,4,1.4632021741479124,0
7,1,0,17,23,0,2,16,5,0.6292755298722188,338,1,0,0,0.4066920309488,0,2,35.423909076042165,2,1.087859930660552,0
10,1,0,18,16,0,1,11,5,0.541666667,171,1,0,0,0.429734726038111,0,0,24.387933871489267,4,1.222238016371952,0
7,1,0,3,12,0,1,2,7,0.6652799012329829,258,1,0,0,0.3993314360048783,0,1,25.16088593796542,3,1.3971732629770133,0
7,1,0,10,50,0,1,13,7,0.541666667,273,1,0,0,0.39249784924408376,0,2,43.96642249342983,7,1.7778,0
7,1,0,17,26,0,1,11,5,0.6506644898724281,390,1,0,0,0.5097049754172283,0,1,28.86746131937541,3,1.140714243516954,0
7,1,0,15,32,0,1,9,5,0.6612368170368133,280,1,0,0,0.4120496206107114,0,0,20.978901518102397,2,1.0437385628196907,0
12,1,0,6,21,0,1,4,8,0.541666667,134,1,0,0,0.3874880749256426,0,2,18.25,3,1.6296925081234597,0
9,1,0,8,12,0,1,2,7,0.6535311141895624,238,1,0,0,0.46406557446573377,0,0,25.67312734210376,3,1.4555351454096919,0
8,1,0,11,17,0,1,9,5,0.6488440398415135,286,1,0,0,0.41131733603418225,0,0,25.339639291523014,2,1.041590799614978,0
12,1,0,14,45,0,1,13,5,0.6183422672653122,591,1,0,0,0.345454545,0,0,44.30769231,3,1.1753125028700786,0
4,2,0,11,18,0,1,11,2,0.9411918249512055,117,1,0,1,0.666666667,1,10,30.644767834920344,2,0.83048726222631,1
6,2,0,14,19,0,2,12,2,0.9773407050423413,193,0,0,1,0.666666667,1,10,26.679727873079226,3,0.75,1
6,2,0,8,12,0,1,10,3,1.066666667,205,0,0,1,0.666666667,1,7,25.16844420136183,2,0.75,1
5,2,0,8,21,0,1,9,3,0.9133584523932203,117,0,0,1,0.6180425031620194,1,10,33.55588143492366,3,0.8877817213746801,1
