wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3,3,0,6,2,13,5,2,6,2,17,0,4,1,0.9348421670000003,2,0,73,1,1,0
1,3,0,3,18,11,3,1,1,2,76,0,0,1,0.5958205233273072,2,0,26,3,1,0
4,3,0,11,1,16,9,1,7,0,437,1,4,0,0.4939878989961493,0,0,4,2,1,0
3,3,0,2,18,119,17,0,6,1,171,0,0,0,0.6912284829341857,2,4,33,0,1,0
6,3,0,3,1,2,17,0,5,0,34,1,0,0,0.8362221033678321,2,4,7,0,1,0
3,3,0,1,4,0,2,0,3,0,34,0,0,0,0.9255356108658642,0,4,7,0,1,0
6,3,0,8,23,119,17,5,3,0,103,0,0,0,0.891027467697895,2,4,7,2,1,0
9,3,0,19,30,119,3,2,0,1,0,0,0,0,0.38016078101502077,2,4,66,9,0,0
1,1,0,19,10,15,0,2,1,0,25,0,0,0,0,2,0,8,0,1,0
6,3,0,2,11,119,17,1,1,1,140,1,0,1,0.4689526675606236,0,4,13,3,1,0
8,3,0,10,11,12,11,15,8,2,437,1,4,0,0,0,4,73,0,1,0
2,3,0,6,26,7,17,6,5,0,124,1,0,0,0.71903146230742,2,0,42,2,1,0
3,3,0,10,3,119,7,2,3,2,437,0,0,1,0.9562125090287892,2,0,73,2,1,0
1,3,0,0,7,16,16,3,7,0,437,0,0,1,0.4337146219552852,2,0,2,10,1,0
2,3,0,2,62,119,0,15,2,0,437,1,4,0,1,0,4,73,10,0,0
4,1,0,6,9,20,3,0,5,0,437,1,4,0,0.39041718451478996,0,4,73,1,1,0
3,1,0,5,0,119,4,1,3,2,437,1,0,1,0.7808670189494552,2,0,3,1,1,0
6,1,0,6,10,11,5,15,1,1,70,0,4,1,0.9636998622905488,0,0,12,2,1,0
26,1,0,2,62,12,2,15,1,1,62,0,0,0,0.5657099268661295,0,4,12,1,1,0
26,1,0,1,62,119,1,1,24,0,437,1,4,1,1,0,4,3,1,0,0
24,3,0,12,54,0,3,10,0,0,395,0,0,0,0.23640622761240254,2,4,25,7,2,1
5,3,0,9,21,8,1,6,4,1,77,1,1,1,0.38118966113977604,2,4,6,4,2,1
16,1,0,14,59,65,17,13,18,1,359,1,1,1,0.2727383373926451,2,0,16,4,1,1
1,1,0,13,24,12,2,10,2,0,207,0,0,1,0.5121112964253083,2,4,57,0,0,1
2,2,0,9,18,119,2,8,4,1,121,1,4,1,0.5467515478765435,2,0,52,0,0,1
2,3,0,8,12,119,2,5,24,2,127,0,4,1,0.3887219085157627,0,4,40,1,1,1
6,3,0,10,34,119,1,10,5,1,165,1,4,1,0.34805843977692585,1,1,27,5,2,1
