INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
California State University-Sacramento,Sacramento,CA,1,0.6968,945,5274,0.4153,0.505,15000,0.4285,0.071,43000,7
California Institute of Technology,Pasadena,CA,2,0.1055,1534,15679,0.2508,0.1063,14583,0.9307,0,66900,10
The Master's College and Seminary,Santa Clarita,CA,2,0.6137,1104,12657,0.5335,0.3051,15750,0.5362,0.025,39000,6
California State University-Bakersfield,Bakersfield,CA,1,0.6626,901,3182,0.4158,0.5843,11000,0.3946,0.096,41400,3
Colorado State University-Pueblo,Pueblo,CO,1,0.9434,967,5059,0.5624,0.4132,12061,0.3306,0.139,33900,1
Humboldt State University,Arcata,CA,1,0.8018,1008,5300,0.605,0.5162,15000,0.4004,0.118,32000,5
San Diego Christian College,El Cajon,CA,2,0.492,986,18089,0.8793,0.6475,11806,0.4125,0.084,32700,2
Brigham Young University-Provo,Provo,UT,2,0.4942,1277,5348,0.1918,0.3578,9260.5,0.7797,0.013,49700,7
University of Washington-Bothell Campus,Bothell,WA,1,0.7568,1014,4068,0.4052,0.3454,14793.5,0.6757,0.043,52100,5
Seattle University,Seattle,WA,2,0.7323,1175,24756,0.5757,0.2109,24000,0.7663,0.038,49700,7
Willamette University,Salem,OR,2,0.5784,1198,21725,0.5031,0.207,19538.5,0.7883,0.035,40500,7
New Mexico Institute of Mining and Technology,Socorro,NM,1,0.4136,1200,5159,0.3495,0.2952,9283,0.4417,0.069,49700,4
University of Hawaii at Manoa,Honolulu,HI,1,0.8009,1087,9277,0.381,0.3086,13750,0.5651,0.051,40600,5
Oregon State University,Corvallis,OR,1,0.7894,1102,9398,0.5162,0.3339,16846,0.6147,0.05,43000,7
Westminster College,Salt Lake City,UT,2,0.7517,1134,18359,0.6207,0.2767,17958,0.5714,0.034,41700,4
Alaska Pacific University,Anchorage,AK,2,0.3745,1008,13615,0.4587,0.2791,19250,0.3902,0.079,39500,2
Carroll College,Helena,MT,2,0.53,1112,13810,0.5598,0.2167,21500,0.6738,0.017,37500,6
University of Portland,Portland,OR,2,0.668,1195,19068,0.5196,0.2189,22454,0.755,0.011,49500,8
California State University-San Bernardino,San Bernardino,CA,1,0.5831,888,5417,0.4698,0.5799,16431,0.4112,0.097,40500,8
San Francisco Art Institute,San Francisco,CA,2,0.8269,1061,26288,1,0.3267,13650.5,0.2881,0.043,26300,2
Sonoma State University,Rohnert Park,CA,1,0.8186,1006,6880,0.4143,0.2968,14592,0.5392,0.057,41900,7
San Jose State University,San Jose,CA,1,0.6347,1030,7238,0.3548,0.3955,14000,0.4809,0.048,49200,8
University of San Francisco,San Francisco,CA,2,0.6129,1161,26745,0.5115,0.2625,23000,0.6901,0.053,58700,7
University of Hawaii-West Oahu,Kapolei,HI,1,0.7643,891,4390,0.3185,0.3505,8045,0.25,0.066,37300,2
Occidental College,Los Angeles,CA,2,0.4239,1303,24394,0.5333,0.2131,20900,0.8777,0.022,40800,9
Hawaii Pacific University,Honolulu,HI,2,0.6411,1005,14333,0.4436,0.257,16250,0.3961,0.044,45500,2
University of Colorado Boulder,Boulder,CO,1,0.8771,1192,16762,0.3298,0.1722,15000,0.6969,0.047,43900,7
Montana State University,Bozeman,MT,1,0.8449,1115,9218,0.4913,0.3161,14465,0.4941,0.057,37300,4
California State University-Northridge,Northridge,CA,1,0.4624,918,5994,0.3636,0.4848,12500,0.4575,0.076,39700,5
Brigham Young University-Idaho,Rexburg,ID,2,0.9963,1036,2404,0.2567,0.3881,7725,0.6011,0.029,35600,2
University of Nevada-Las Vegas,Las Vegas,NV,1,0.8512,1003,6600,0.3687,0.3351,12608,0.4288,0.088,40600,5
