wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,1,0,5,2,1,4,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
2,1,0,4,2,1,4,0,2,2,2,0,0,0,1,0,0,0,1,1,0
2,0,0,4,6,1,0,4,2,2,18,0,0,0,1,0,0,8,1,0.5,0
2,1,0,4,2,1,2,3,2,2,2,0,0,0,0.833333333,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,4,5,3,1,4,3,2,20,0,0,0,0.833333333,0,0,5.666666667,1,0.6667,0
2,1,0,2,2,1,2,0,2,2,2,0,0,0,1,0,0,0,1,1,0
3,1,0,7,8,0,1,6,3,0.5,39,1,0,0,0.555555556,0,0,11.33333333,1,0.6667,0
3,1,0,6,3,3,5,2,3,2,3,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,0
4,1,0,0,8,6,0,0,3,2,19,0,0,0,0.5,0,0,3.75,1,0.75,0
1,1,0,2,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,2,15,3,1,1,0,2,63,0,0,0,0.5,0,0,20,1,0.6667,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,5,1,0,2,3,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,5,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,0
4,1,0,1,12,0,1,0,4,0.333333333,52,1,0,0,0.625,0,0,11.5,1,0.75,0
0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,5,1,0,2,3,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,5,3,3,2,4,3,2,3,0,0,0,0.777777778,0,0,0,1,1,0
1,1,0,167,1,0,166,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,14,1,0,14,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,8,1,0,8,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,4,11,3,1,3,3,2,48,0,0,0,0.533333333,0,0,15,1,0.6667,0
0,1,0,46,0,0,45,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1,5,0,2,6,0,1,1,1,2,14,1,0,1,1,0,0,12,0,0,0
9,0,0,5,24,0,1,4,9,0,213,1,0,0,0.37037037,0,0,22.55555556,1,0.8889,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,6,1,0,5,3,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,0,5,1,0,0,1,2,15,0,0,0,0.5,0,0,6,1,0.5,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,2,1,0,1,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,6,7,1,2,4,1,2,21,0,0,0,0.5,0,0,9.5,1,0.5,0
2,1,0,4,4,1,1,3,2,2,9,0,0,0,1,0,0,3.5,1,0.5,0
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,2,2,1,1,1,2,2,2,0,0,0,1,0,0,0,1,1,0
2,1,0,60,2,1,60,0,2,2,2,0,0,0,0.833333333,0,0,0,1,1,0
1,1,0,22,1,0,22,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,8,1,0,8,0,1,2,1,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,2,0,0,1,1,2,6,1,0,1,1,0,0,3,0,0,0
4,1,0,4,8,6,1,3,4,2,19,0,0,0,1,0,0,3.75,1,0.75,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,7,6,0,1,6,2,0,27,1,0,0,0.666666667,0,0,11.5,1,0.5,0
2,1,0,1,2,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,0
1,1,0,6,1,0,6,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,4,5,0,1,3,2,0,17,1,0,0,0.666666667,0,0,7,1,0.5,0
5,1,0,4,5,10,4,0,5,2,5,0,0,0,1,0,0,0,1,1,0
3,1,0,4,5,3,0,4,3,2,18,0,0,0,0.833333333,0,0,5,1,0.6667,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,1,0,2,41,3,0,2,1,2,228,0,0,0,0.333333333,0,0,75,1,0.6667,0
2,1,0,23,2,1,23,0,2,2,2,0,0,0,1,0,0,0,1,1,0
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,6,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,2,0,0,0,0,2,24,0,0,0,1,0,0,3,0,0,0
2,1,0,4,4,1,1,3,2,2,9,0,0,0,1,0,0,3.5,1,0.5,0
1,1,0,0,2,0,0,0,0,2,9,0,0,0,1,0,0,3,0,0,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,7,1,0,7,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,0,6,3,0,0,3,2,12,0,0,0,0.833333333,0,0,3,1,0.6667,0
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,8,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,0
4,1,0,7,17,0,1,6,4,0.333333333,74,1,0,0,0.416666667,0,0,17.25,1,0.5,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,1,0,4,5,3,0,4,3,2,12,0,0,0,0.833333333,0,0,3,1,0.6667,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,38,2,1,37,1,2,2,2,0,0,0,0.875,0,0,0,1,1,0
1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,1,2,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,0
3,1,0,5,5,0,1,4,3,0,24,1,0,0,1,0,0,6.666666667,1,0.6667,0
2,1,0,6,8,1,0,6,2,2,23,0,0,0,0.75,0,0,10.5,1,0.5,0
3,1,0,2,7,3,0,2,3,2,13,0,0,0,0.833333333,0,0,3.333333333,1,0.6667,0
1,1,0,6,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,274,1,0,273,1,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,9,3,3,7,2,3,2,3,0,0,0,1,0,0,0,1,1,0
3,1,0,5,11,0,1,4,3,0,53,1,0,0,0.5,0,0,16.33333333,1,0.6667,0
3,1,0,13,3,3,11,2,3,2,3,0,0,0,0.833333333,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
15,1,0,8,42,105,7,1,14,2,214,0,0,0,0.2,0,0,13.26666667,4,2.4667,1
27,1,0,16,67,283,5,13,14,0.888888889,410,1,3,0,0.157342657,0,0,13.85185185,7,1.5556,1
2,1,0,12,15,0,2,10,2,0,70,1,3,0,0.571428571,0,0,32.5,1,0.5,1
20,1,0,33,96,122,6,27,8,0.726315789,930,1,4,0,0.244019139,0,0,45,9,3.25,1
31,1,1,16,59,437,1,15,28,0.855555556,251,1,2,0,0.133995037,0,0,7,2,1,1
14,1,0,11,45,23,1,10,11,0.972527473,400,0.142857143,0,0,0.192857143,0,0,26.57142857,2,1,1
