ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
0.5201,955,13823,0.6735,0.3593,15250,0.6338,0.026,49800,0
0.6411,760,11893,0.7098,0.6562,25000,0.3353,0.283,30200,1
0.7244,895,10550,0.5895,0.3331,18059.5,0.4298,0.093,33700,1
0.6273,825,12333,0.6564,0.5754,9320.5,0.3891,0.153,29800,1
0.6835,845,17320,0.649,0.292,9500,0.4315,0.193,30400,1
0.6293,908,6008,0.4269,0.3216,11500,0.4273,0.146,31500,1
0.7189,899,17452,0.879,0.4339,19000,0.3565,0.071,44300,2
0.828,1003,9033,0.5807,0.3636,17000,0.3356,0.068,36300,2
0.8472,975,12942,0.669,0.2441,15289,0.4409,0.068,35000,2
0.7866,965,10913,0.6931,0.4058,7688,0.542,0.068,39600,2
0.8341,980,7165,0.7063,0.3021,18000,0.5483,0.057,39900,3
0.7844,946,9230,0.65,0.3029,16750,0.5604,0.051,38400,3
0.4129,917,7917,0.564,0.561,13250.5,0.3174,0.065,39600,3
0.7762,976,16643,0.6131,0.346,22500,0.5132,0.069,40400,3
0.9094,956,15624,0.5817,0.2744,19837.5,0.5673,0.069,42900,3
0.5838,927,14759,0.8416,0.5382,25000,0.4559,0.072,42900,3
0.7778,960,12041,0.5758,0.2435,15683.5,0.5543,0.057,38900,3
0.576,964,14058,0.8832,0.5289,18065,0.555,0.075,38900,4
0.6408,949,16805,0.836,0.4293,19125,0.5345,0.068,39600,4
0.5565,931,15204,0.7718,0.3833,18750,0.4558,0.065,37300,4
0.8037,905,8190,0.6133,0.4094,18750,0.4623,0.104,40500,4
0.9229,964,6264,0.7758,0.4394,19000,0.4962,0.105,35400,4
0.7341,985,17362,0.3668,0.2527,18750,0.465,0.043,43600,4
0.5785,960,14874,0.833,0.4915,23500,0.4188,0.076,38500,4
0.8634,948,7148,0.7547,0.4557,21500,0.536,0.077,44900,5
0.845,984,7920,0.5671,0.3143,21500,0.4954,0.077,44900,5
0.5804,998,4018,0.4717,0.4714,13821,0.3649,0.114,39400,5
0.8576,1016,10008,0.5092,0.5277,13000,0.4969,0.036,27700,5
0.6929,986,6709,0.5898,0.3339,19415,0.4558,0.086,38000,5
0.9038,1021,12242,0.7285,0.3056,22000,0.5501,0.042,47600,5
0.8307,988,6362,0.6832,0.3405,21500,0.5652,0.077,44900,5
0.6811,1010,9726,0.6629,0.3959,18750,0.5012,0.094,39100,5
0.6943,889,8130,0.7422,0.5467,21500,0.3134,0.077,44900,5
0.825,1014,24014,0.5983,0.292,21032,0.5489,0.071,47700,5
0.7351,1045,13678,0.6847,0.2422,20500,0.5777,0.049,43400,5
0.7999,1075,14460,0.7044,0.2888,21501,0.666,0.056,39800,6
0.8051,1041,16370,0.7034,0.3466,21500,0.5587,0.049,40000,6
0.652,1032,14168,0.7153,0.3169,22131,0.6113,0.066,37100,6
0.6633,1038,13010,0.644,0.2916,21000,0.6513,0.067,37600,6
0.7162,1047,14021,0.7829,0.3264,27000,0.6391,0.066,39100,6
0.6049,1090,16682,0.6753,0.2337,24250,0.5808,0.056,41700,6
0.713,1050,16335,0.7829,0.3528,23250,0.6511,0.071,35300,6
0.4774,1069,4792,0.7085,0.4081,17750,0.6676,0.056,38100,6
0.8519,990,6419,0.715,0.3329,21500,0.688,0.077,44900,7
0.4207,1015,2077,0.4705,0.3402,18983,0.5029,0.038,51100,7
0.5545,1102,5818,0.6069,0.3747,16750,0.6638,0.059,44500,7
0.4107,1017,2653,0.3653,0.3094,18983,0.6243,0.038,51100,7
0.6659,1131,25271,0.4127,0.2361,20500,0.6336,0.053,43300,7
0.3702,1100,4899,0.1319,0.3807,9054,0.5635,0.065,42000,7
0.6277,1095,16702,0.7973,0.3206,21500,0.7253,0.044,41400,7
0.9311,1017,11828,0.7191,0.52,22000,0.5329,0.042,47600,7
0.9212,1009,19064,0.5797,0.2424,21000,0.6258,0.043,45000,7
0.4754,1053,5228,0.5446,0.3845,13193.5,0.4778,0.063,46300,7
0.8408,1052,7616,0.7036,0.3156,21500,0.6995,0.077,44900,7
0.6633,1182,20898,0.6988,0.2155,27000,0.7906,0.029,45200,8
0.7511,1173,22999,0.7463,0.1725,25000,0.7481,0.028,41600,8
0.7091,1133,21131,0.6856,0.1441,26000,0.8483,0.004,52600,8
0.5979,1158,23856,0.5326,0.1341,27000,0.8504,0.023,53000,8
0.7655,1137,22197,0.6148,0.1676,26706,0.8198,0.025,53800,8
0.4897,1149,18588,0.7305,0.2573,25000,0.7122,0.021,46600,8
0.7409,1122,19958,0.6763,0.2023,25500,0.7688,0.028,57400,8
0.5635,1165,22447,0.7424,0.2632,27000,0.7181,0.024,87000,8
0.6988,1154,22283,0.6318,0.1904,22875,0.6136,0.037,49200,8
0.7503,1121,19604,0.6741,0.2014,26442,0.8176,0.04,50600,8
0.2972,1160,5913,0.1606,0.4097,9500,0.5038,0.053,40700,8
0.7873,1110,23462,0.5054,0.1357,20500,0.7851,0.044,51100,8
0.4379,1234,24563,0.5074,0.1554,26000,0.8727,0.01,65300,9
0.2731,1239,33690,0.3907,0.1537,25000,0.8732,0.033,38100,9
0.3505,1247,30105,0.3211,0.1462,19500,0.8592,0.033,41300,9
0.3084,1322,25245,0.4495,0.1472,22500,0.8584,0.009,68900,9
0.8216,1217,22428,0.2656,0.181,15358.5,0.8519,0.033,53700,9
0.412,1366,26147,0.5866,0.166,27000,0.8494,0.019,67800,9
0.0742,1471,31924,0.2659,0.2154,17125,0.9329,0.02,89100,10
0.1495,1423,30863,0.1963,0.1376,18000,0.9326,0.006,55600,10
0.1224,1442,36792,0.2328,0.1417,19500,0.9569,0.013,102200,10
0.1884,1428,28845,0.301,0.1132,17300,0.9219,0.023,63500,10
0.1716,1391,42339,0.2514,0.1103,17777.5,0.936,0.016,56300,10
0.0978,1446,28107,0.2454,0.1364,10695.5,0.947,0.014,79400,10
0.0584,1501,27867,0.029,0.1016,7500,0.9747,0.019,113600,10
