name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
xalan,2.7.0,org.apache.xml.utils.StylesheetPIHandler,8,2,0,4,28,6,2,2,8,0.761904762,471,0,0,0.708333333,0.4375,1,1,57.125,2,1,1
xalan,2.7.0,org.apache.xalan.processor.ProcessorInclude,8,4,1,11,50,22,2,9,4,0.785714286,287,0.5,0,0.967741935,0.425,1,1,34.625,1,0.875,3
xalan,2.7.0,org.apache.xml.dtm.ref.ObjectFactory,13,1,0,3,49,64,1,2,0,0.916666667,699,0.833333333,0,0,0.3125,0,0,52.30769231,16,2.4615,1
xalan,2.7.0,org.apache.xalan.xsltc.compiler.RealExpr,4,3,0,11,14,0,0,11,4,0.333333333,44,1,0,0.959459459,0.4,2,7,9.75,1,0.75,1
xalan,2.7.0,org.apache.xpath.operations.Gte,2,3,0,4,4,1,1,3,2,2,14,0,0,0.976190476,0.75,1,1,5.5,1,0.5,1
xalan,2.7.0,org.apache.xpath.functions.FuncRound,2,4,0,5,7,1,0,5,2,2,44,0,0,0.979591837,0.75,1,6,20.5,1,0.5,1
xalan,2.7.0,org.apache.xpath.functions.Function2Args,9,4,7,15,23,6,8,8,8,0.75,124,0,1,0.857142857,0.355555556,3,9,12.55555556,6,1.7778,1
xalan,2.7.0,org.apache.xalan.xsltc.compiler.AbsolutePathPattern,8,5,0,29,45,0,1,29,8,0.142857143,241,1,1,0.933962264,0.270833333,4,5,29,6,1.875,2
xalan,2.7.0,org.apache.xpath.axes.BasicTestIterator,7,5,2,8,24,21,2,7,2,1.166666667,155,0,0,0.9765625,0.371428571,2,4,21,12,2,2
xalan,2.7.0,org.apache.xalan.templates.ElemText,6,3,0,4,11,9,3,1,6,0.9,50,0.5,0,0.975124378,0.444444444,2,6,7,3,1.1667,1
xalan,2.7.0,org.apache.xpath.res.XPATHErrorResources_fr,4,3,0,1,15,6,0,1,3,1.333333333,2120,0,0,0.926829268,0.333333333,0,0,495.5,2,1,2
xalan,2.7.0,org.apache.xpath.ExpressionOwner,2,1,0,55,2,1,54,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
xalan,2.7.0,org.apache.xml.dtm.ref.DTMNamedNodeMap,9,1,0,3,18,16,2,2,9,0.625,184,0,1,0,0.4,0,0,19.11111111,7,2.2222,1
xalan,2.7.0,org.apache.xalan.templates.FuncFormatNumb,5,6,0,12,35,10,0,12,4,1.25,184,0,0,0.941176471,0.4,2,8,35.6,1,0.8,1
xalan,2.7.0,org.apache.xalan.lib.ExsltBase,3,1,4,5,14,3,4,1,1,2,62,0,0,0,0.5,0,0,19.66666667,4,1.6667,1
xalan,2.7.0,org.apache.xml.utils.NodeVector,30,1,1,9,33,0,9,0,30,0.544827586,934,0.8,0,0,0.4,0,0,29.96666667,5,2.1667,1
xalan,2.7.0,org.apache.xalan.templates.RedundentExprEliminator,39,3,0,27,128,669,1,27,8,0.952631579,1730,0.1,2,0.350877193,0.189473684,0,0,43.1025641,12,3.4615,1
xalan,2.7.0,org.apache.xalan.trace.ExtensionEvent,3,1,0,6,4,0,5,1,3,0.5625,65,0,1,0,0.571428571,0,0,18,0,0,1
xalan,2.7.0,org.apache.xml.serializer.utils.SerializerMessages_hu,2,3,0,0,3,1,0,0,2,2,374,0,0,0.974358974,1,0,0,186,1,0.5,3
xalan,2.7.0,org.apache.xalan.xsltc.compiler.LiteralExpr,8,3,0,18,18,4,7,11,5,0.571428571,75,1,0,0.922077922,0.325,2,8,8.125,1,0.75,1
xalan,2.7.0,org.apache.xalan.extensions.ExtensionHandlerGeneral,8,2,0,17,57,20,0,17,6,0.824175824,578,0.769230769,0,0.5,0.328571429,0,0,69.625,2,1,2
xalan,2.7.0,org.apache.xalan.lib.ExsltStrings,10,2,0,3,34,45,0,3,10,2,341,0,0,0.181818182,0.275,0,0,33.1,5,2.6,1
xalan,2.7.0,org.apache.xpath.axes.ContextNodeList,12,1,0,1,12,66,1,0,12,2,12,0,0,0,0.444444444,0,0,0,1,1,1
xalan,2.7.0,org.apache.xalan.res.XSLTErrorResources_zh_TW,4,3,0,1,15,6,0,1,3,1.333333333,4270,0,0,0.926829268,0.333333333,0,0,1005.75,2,1,2
xalan,2.7.0,org.apache.xalan.xslt.Process,7,1,0,10,115,21,0,10,2,2,2122,0,0,0,0.25,0,0,302.1428571,143,21.1429,2
xalan,2.7.0,org.apache.xalan.templates.ElemForEach,19,3,1,24,85,91,5,20,17,0.805555556,502,0.5,2,0.91588785,0.127819549,2,6,25.10526316,4,1.2632,1
xalan,2.7.0,org.apache.xalan.trace.TraceListenerEx,1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,1
xalan,2.7.0,org.apache.xml.serializer.OutputPropertiesFactory,7,1,0,11,41,15,7,5,2,1.030864198,413,0.62962963,0,0,0.291666667,0,0,54.14285714,10,2.5714,2
xalan,2.7.0,org.apache.xalan.templates.ElemCopyOf,9,3,0,21,46,6,1,20,8,0.75,219,0,1,0.960784314,0.238095238,2,6,23.11111111,2,1,1
xalan,2.7.0,org.apache.xpath.axes.SubContextList,2,1,0,7,2,1,7,1,2,2,2,0,0,0,1,0,0,0,1,1,1
xalan,2.7.0,org.apache.xml.dtm.ref.IncrementalSAXSource,5,1,0,6,5,10,6,0,5,2,5,0,0,0,0.333333333,0,0,0,1,1,1
xalan,2.7.0,org.apache.xalan.xsltc.compiler.util.RealType,28,3,0,42,61,370,13,34,26,1,533,0,0,0.564516129,0.181547619,1,3,18,10,1.8214,2
xalan,2.7.0,org.apache.xalan.xsltc.compiler.util.NodeSortRecordFactGenerator,2,4,0,3,3,1,1,2,2,2,13,0,0,0.987804878,0.6,0,0,5.5,1,0.5,1
xalan,2.7.0,org.apache.xml.serializer.ObjectFactory,13,1,0,5,49,64,3,2,0,0.916666667,699,0.833333333,0,0,0.3125,0,0,52.30769231,16,2.4615,1
xalan,2.7.0,org.apache.xalan.xsltc.compiler.AncestorPattern,10,6,0,30,48,1,2,28,10,0.518518519,302,1,2,0.925233645,0.242857143,4,5,28.9,8,1.6,1
xalan,2.7.0,org.apache.xml.serializer.utils.SystemIDResolver,9,1,0,3,33,36,1,2,6,2,341,0,0,0,0.5,0,0,36.88888889,9,4.1111,1
xalan,2.7.0,org.apache.xalan.xsltc.compiler.UnionPathExpr,6,3,0,20,37,0,1,20,5,0.5,288,1,3,0.934210526,0.285714286,2,8,46.33333333,7,2.5,1
xalan,2.7.0,org.apache.xalan.extensions.ObjectFactory,13,1,0,4,49,64,2,2,0,0.916666667,699,0.833333333,0,0,0.3125,0,0,52.30769231,16,2.4615,1
xalan,2.7.0,org.apache.xpath.res.XPATHErrorResources_sv,2,4,0,1,3,1,0,1,2,2,1867,0,0,0.976190476,1,0,0,926,1,0.5,1
xalan,2.7.0,org.apache.xalan.lib.sql.QueryParameter,14,1,0,3,21,31,3,0,12,0.717948718,344,1,0,0,0.512820513,0,0,23.14285714,3,0.8571,1
xalan,2.7.0,org.apache.xalan.xsltc.compiler.util.NodeSetType,21,2,0,42,49,190,16,29,19,2,470,0,0,0.622641509,0.238095238,2,4,21.38095238,7,1.5714,1
xalan,2.7.0,org.apache.xpath.axes.DescendantIterator,9,5,0,11,43,0,2,9,8,0.71875,420,0.75,1,0.946969697,0.277777778,4,12,45.22222222,15,3,2
xalan,2.7.0,org.apache.xalan.lib.ExsltSets,7,2,0,4,23,21,1,3,7,2,258,0,0,0.25,0.5,0,0,35.85714286,6,3.5714,2
xalan,2.7.0,org.apache.xpath.axes.WalkerFactory,51,1,0,25,114,1275,11,23,40,1.02,2140,0,0,0,0.181372549,0,0,40.45098039,18,3.3333,2
xalan,2.7.0,org.apache.xml.utils.StringVector,11,1,0,8,15,0,8,0,11,0.56,235,0.8,0,0,0.515151515,0,0,19.90909091,4,1.7273,1
xalan,2.7.0,org.apache.xml.utils.SuballocatedIntVector,20,1,0,15,22,8,15,0,13,0.552631579,901,1,0,0,0.875,0,0,43.55,8,2.95,1
xalan,2.7.0,org.apache.xml.serializer.ToUnknownStream,83,2,0,11,178,0,1,10,76,0.843089431,1124,1,1,0.514792899,0.116465863,2,10,12.36144578,10,1.2048,2
xalan,2.7.0,org.apache.xpath.functions.FuncNormalizeSpace,3,5,0,6,11,3,0,6,3,1.5,46,0,0,0.964912281,0.666666667,2,7,14,1,0.6667,1
xalan,2.7.0,org.apache.xml.utils.SecuritySupport,11,1,1,2,20,53,2,1,0,0.9,90,1,0,0,0.4,0,0,7.090909091,2,0.9091,1
xalan,2.7.0,org.apache.xpath.operations.String,2,3,0,5,4,1,1,4,2,2,10,0,0,0.975609756,0.75,1,1,3.5,1,0.5,1
xalan,2.7.0,org.apache.xml.serializer.ToStream,79,2,3,23,196,1751,4,20,48,0.844230769,3344,0.8,4,0.527272727,0.150994575,2,14,41.07594937,14,1.8354,8
xalan,2.7.0,org.apache.xpath.objects.XRTreeFrag,18,3,1,21,43,55,5,16,17,0.623529412,276,0.8,2,0.825581395,0.201388889,2,23,14.05555556,9,1.6111,2
xalan,2.7.0,org.apache.xalan.templates.XMLNSDecl,4,1,0,2,5,0,2,0,4,0.833333333,29,0.75,0,0,0.5,0,0,5.25,1,0.75,1
xalan,2.7.0,org.apache.xml.serializer.Version,9,1,0,0,18,36,0,0,9,2,81,0,0,0,0.111111111,0,0,8,2,1.1111,1
