name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
Redaktor,1,redaktor.test.TestManagerRemote,33,1,0,6,33,528,1,5,33,2,33,0,0,0,0.190909091,0,0,0,1,1,0
Redaktor,1,redaktor.web.dispatch.actions.news.DeleteNewsAction,9,1,0,10,27,0,2,8,6,0.5625,267,1,0,0,0.458333333,0,0,28.44444444,2,1.2222,0
Redaktor,1,pff.validation.PFFSurnameValidator,4,2,0,5,7,0,3,2,2,1.066666667,74,1,0,0.714285714,0.666666667,1,4,16.25,2,0.75,1
Redaktor,1,pff.validation.PFFEmailValidator,4,2,0,7,10,0,5,2,2,0.333333333,218,1,0,0.714285714,0.666666667,1,4,53,13,3.5,0
Redaktor,1,redaktor.web.ArticlesManager,15,2,0,14,36,0,8,6,10,0.464285714,404,1,1,0.235294118,0.196428571,1,4,25.8,4,1.7333,0
Redaktor,1,redaktor.web.dispatch.actions.ActionManagerReflect,4,1,0,2,19,0,0,2,2,0.666666667,110,1,0,0,0.333333333,0,0,26,2,0.75,0
Redaktor,1,redaktor.Main,3,1,0,1,10,3,0,1,3,0.5,35,1,1,0,0.5,0,0,10.33333333,1,0.6667,0
Redaktor,1,redaktor.web.dispatch.actions.message.MessageDetailsModel,13,1,0,11,44,0,1,10,8,0.7,448,1,1,0,0.316666667,0,0,33.07692308,4,1.9231,1
Redaktor,1,pff.field.PFFField,23,1,0,15,53,0,12,3,21,0.681818182,1119,1,1,0,0.265151515,0,0,47.34782609,10,2.1739,0
Redaktor,1,redaktor.web.dispatch.actions.account.RedactorsListModel,12,1,0,8,34,0,1,7,9,0.688311688,439,0.714285714,3,0,0.290909091,0,0,35,5,1.9167,0
Redaktor,1,redaktor.web.dispatch.actions.account.ListAccountsAction,10,1,0,14,32,0,1,13,6,0.555555556,299,1,0,0,0.481481481,0,0,28.7,3,1.4,0
Redaktor,1,redaktor.web.RightsManager,11,2,0,6,25,0,2,4,6,0.45,241,1,1,0.307692308,0.4,1,4,20.72727273,2,1.4545,0
Redaktor,1,redaktor.topic.TopicsManagerLocal,20,1,0,11,20,190,7,4,20,2,20,0,0,0,0.266666667,0,0,0,1,1,0
Redaktor,1,pff.validation.ArticleValidator,4,2,0,6,12,0,1,5,2,0.666666667,127,1,0,0.714285714,0.555555556,1,4,30,5,1.5,0
Redaktor,1,redaktor.web.dispatch.actions.topic.EditTopicAction,13,1,0,13,52,0,1,12,6,0.541666667,520,1,0,0,0.291666667,0,0,38.84615385,4,1.4615,0
Redaktor,1,redaktor.web.MessagesManager,16,2,0,12,42,0,6,6,11,0.466666667,382,1,1,0.222222222,0.306666667,1,4,22.75,2,1.625,0
Redaktor,1,redaktor.news.NewsManagerBean,10,1,0,4,33,0,0,4,8,0.481481481,603,1,0,0,0.253968254,0,0,59,16,3.2,0
Redaktor,1,ptf.table.PTFObjectList,16,1,0,13,40,0,8,5,14,0.723809524,674,1,2,0,0.266666667,0,0,40.6875,7,2.375,0
Redaktor,1,redaktor.web.dispatch.actions.account.CreateAccountAction,12,1,0,13,48,0,1,12,6,0.545454545,397,1,0,0,0.327272727,0,0,31.91666667,2,1.25,0
Redaktor,1,pff.validation.PFFBirthDateValidator,4,2,0,6,16,0,3,3,2,1.066666667,181,1,0,0.714285714,0.666666667,2,5,43,8,2.25,0
Redaktor,1,redaktor.web.dispatch.actions.account.ShowAccountAction,9,1,0,15,33,0,1,14,6,0.5625,309,1,0,0,0.458333333,0,0,33.11111111,4,1.4444,0
Redaktor,1,redaktor.web.dispatch.actions.contact.ContactDetailsModel,11,1,0,5,22,0,1,4,8,0.74,341,0.8,1,0,0.35,0,0,29.54545455,4,1.8182,1
Redaktor,1,redaktor.rights.Rights,15,1,0,29,24,0,28,1,13,0.883116883,455,0.454545455,0,0,0.238095238,1,1,28.6,7,2.3333,0
Redaktor,1,redaktor.contact.Contact,18,1,0,13,26,0,12,1,16,0.816176471,460,1,0,0,0.338235294,1,1,24.11111111,7,2.0556,1
Redaktor,1,redaktor.message.MessageState,5,2,0,11,9,0,10,1,2,0.75,131,0.4,4,0.785714286,0.333333333,1,1,24.2,2,1,0
Redaktor,1,redaktor.image.Image,10,1,0,1,18,0,0,1,8,0.638888889,284,1,0,0,0.305555556,1,1,27,7,2.1,0
Redaktor,1,redaktor.web.dispatch.actions.message.MessageDetailsStyle,3,3,0,2,5,1,0,2,1,0.75,48,1,0,0.928571429,0.5,1,2,14.33333333,1,0.3333,0
Redaktor,1,pff.widget.PFFDateInputWidget,4,2,0,6,12,0,4,2,2,0.666666667,181,1,0,0.866666667,0.666666667,1,4,43.75,4,1.25,0
Redaktor,1,pff.validation.PFFSameValueValidator,4,2,0,6,8,0,3,3,2,0.666666667,83,0.5,2,0.714285714,0.555555556,2,5,18.75,2,0.75,0
Redaktor,1,redaktor.test.TestManagerBean,36,1,0,13,71,0,0,13,34,0.782142857,816,1,6,0,0.182857143,0,0,21.44444444,2,1.8611,0
Redaktor,1,redaktor.web.dispatch.actions.message.DeleteMessageAction,9,1,0,10,29,0,1,9,6,0.5625,291,1,0,0,0.458333333,0,0,31.11111111,3,1.3333,0
Redaktor,1,redaktor.web.dispatch.actions.news.NewsListModel,14,1,0,13,44,0,1,12,9,0.692307692,518,0.714285714,3,0,0.256410256,0,0,35.5,5,1.9286,0
Redaktor,1,redaktor.issue.IssuesManagerLocal,10,1,0,9,10,45,7,2,10,2,10,0,0,0,0.316666667,0,0,0,1,1,0
Redaktor,1,redaktor.web.dispatch.actions.contact.NewContactForm,4,2,0,10,13,0,1,9,2,1.142857143,132,0.285714286,0,0.923076923,0.666666667,1,9,30.25,2,0.75,1
Redaktor,1,pff.widget.PFFSelectWidget,5,2,0,7,11,0,4,3,3,0.583333333,102,1,0,0.8125,0.5,1,4,18.8,2,1,0
Redaktor,1,redaktor.web.dispatch.actions.account.EditAccountForm,5,2,0,23,36,0,1,22,2,1.145833333,307,0.166666667,0,0.888888889,0.5,1,10,58,3,1.2,1
Redaktor,1,redaktor.web.dispatch.actions.profile.ProfileForm,4,2,0,17,21,0,1,16,2,1.2,237,0.2,0,0.923076923,0.666666667,1,9,55.75,2,0.75,1
Redaktor,1,pff.validation.PFFRequiredValidator,5,2,0,16,9,0,14,2,3,0.625,135,1,0,0.625,0.5,1,4,25.6,4,1.8,0
Redaktor,1,redaktor.web.TestFriendlyManager,6,1,8,9,8,3,8,1,1,0.733333333,107,1,0,0,0.5,0,0,16.33333333,3,1.1667,0
Redaktor,1,redaktor.redactor.RedactorsManagerLocal,11,1,0,5,11,55,4,1,11,2,11,0,0,0,0.363636364,0,0,0,1,1,0
Redaktor,1,pff.validation.PFFNameValidator,4,2,0,5,7,0,3,2,2,1.066666667,74,1,0,0.714285714,0.666666667,1,4,16.25,2,0.75,1
Redaktor,1,pff.validation.RightsValidator,4,2,0,2,6,0,0,2,2,0.666666667,68,1,0,0.714285714,0.5,1,4,15.5,2,0.75,0
Redaktor,1,redaktor.web.dispatch.actions.contact.EditContactForm,4,2,0,11,14,0,1,10,2,1.166666667,140,0.25,0,0.923076923,0.666666667,1,9,32,2,0.75,1
Redaktor,1,redaktor.web.dispatch.actions.topic.ListTopicsAction,9,1,0,6,19,0,1,5,6,0.5625,210,1,0,0,0.458333333,0,0,22.11111111,2,1.2222,0
Redaktor,1,redaktor.web.dispatch.actions.message.ShowMessageAction,9,1,0,17,33,0,2,15,6,0.5625,282,1,0,0,0.458333333,0,0,30.11111111,4,1.4444,0
Redaktor,1,redaktor.web.util.RequestWrapper,23,1,0,40,28,0,29,11,21,0.958333333,538,0.166666667,0,0,0.117424242,0,0,21.86956522,2,1.7826,0
Redaktor,1,redaktor.contact.ContactsManagerLocal,7,1,0,5,7,21,4,1,7,2,7,0,0,0,0.333333333,0,0,0,1,1,0
Redaktor,1,ptf.style.PTFTableCSSStyle,10,1,0,16,10,45,16,0,10,2,10,0,0,0,0.9,0,0,0,1,1,0
Redaktor,1,pff.widget.PFFMultipleSelectWidget,9,2,0,6,15,0,3,3,7,0.65,199,1,0,0.65,0.34375,1,4,20.55555556,2,1.4444,0
Redaktor,1,redaktor.web.dispatch.actions.article.EditArticleAction,14,1,0,16,83,0,1,15,6,0.538461538,852,1,0,0,0.333333333,0,0,59.71428571,7,2.1429,0
Redaktor,1,redaktor.web.exceptions.NotAllowedException,6,3,0,43,11,0,42,1,4,0.6,115,1,0,0.928571429,0.533333333,0,0,17.83333333,1,0.1667,0
Redaktor,1,redaktor.web.dispatch.actions.issue.CloseIssueAction,11,1,0,12,40,0,1,11,6,0.55,390,1,0,0,0.5,0,0,34.27272727,4,1.3636,0
Redaktor,1,pff.validation.PFFSkypeValidator,4,2,0,5,8,0,3,2,2,1.066666667,93,1,0,0.714285714,0.666666667,1,4,21,4,1.25,0
