wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
11,7,0,365,288,523,20,37,9,2,255,1,11,1,0.8990536215066083,0,1,2052,47,1.0007578822550922,0
13,7,1,365,288,6692,352,4,103,2,277,1,1,1,0.9406774022843514,4,1,2052,47,1.3803133503502487,0
120,7,1,365,34,6692,352,5,7,0,287,0,11,1,0.9034291190773397,0,1,196,47,0.37880546981506324,0
11,7,1,20,288,6692,19,2,103,2,495,0,1,0,0.39973515887914635,4,9,2052,47,0.363521479222584,0
120,1,1,365,288,6692,352,6,12,1,233,1,11,0,0.3093587451152936,0,9,2052,1,1.460963583741837,0
120,1,1,39,27,6692,26,37,103,2,4541,1,1,0,0.30549994378926126,0,9,134,47,0.6134672820478917,0
13,7,1,51,34,6692,48,37,103,0,4541,1,1,0,0,4,1,137,47,0.4707895224892479,0
12,5,1,365,22,782,33,37,103,2,4541,1,1,1,0.8901900769716901,0,9,2052,47,0.3113312050636313,0
13,2,1,365,288,6692,32,37,10,2,417,0,11,1,1,0,1,2052,2,5.5854,0
120,7,1,365,288,413,352,3,13,2,4541,0,1,0,0.7389684238712522,0,1,2052,47,0.542125055706853,0
120,2,1,365,288,6692,352,5,103,0,419,1,1,0,0,0,9,2052,4,0.47500420449644604,0
23,1,1,365,33,6692,39,3,6,2,359,1,11,1,0.3291498330970444,0,1,2052,47,1.293647236819774,0
120,1,1,43,288,479,33,4,103,2,260,1,11,1,0,0,9,151,47,0.36086945515912766,0
120,7,10,29,288,600,31,4,103,0,4541,0,1,1,0.5669342969406532,0,9,2052,47,1.3896974834194058,0
8,4,10,365,25,6692,35,3,103,0,4541,1,1,0,0.9175380859566582,4,9,143,4,5.5854,0
120,1,10,365,288,611,37,37,7,0,4541,0,1,1,0.09774674744386386,0,1,2052,47,5.5854,0
0,1,1,18,288,464,352,37,13,1,394,0,11,1,0.6231194433906098,4,0,88,47,1.0372422799833683,0
9,7,1,40,27,6692,22,0,103,0,4541,0,1,1,0,0,9,135,4,1.3871968244652577,0
11,1,1,365,27,6692,352,4,103,2,4541,1,1,0,0.9255016541354538,4,9,2052,4,0.6044173277952692,0
120,7,10,26,28,320,352,3,103,0,4541,0,1,0,0.7440178726142255,4,0,96,4,0.4011297340296211,0
15,1,10,365,4,307,23,37,4,1,4541,0,0,1,0.47827098962252007,4,9,2052,3,0.5549815586418759,0
120,1,10,365,34,596,25,37,103,2,250,0,1,1,0.9403573636163738,0,1,2052,4,1.3004917757715273,0
120,2,1,365,40,313,21,3,14,2,4541,1,11,1,0.443005771131522,4,1,108,5,1.4125953078057791,0
12,1,0,365,26,6692,352,1,2,1,298,1,1,1,0.6665545318637971,4,1,121,4,1.2741652271750867,0
120,1,10,39,21,590,352,7,12,0,4541,1,1,0,0.4102790069081184,0,1,159,4,0.6753235528337457,0
120,7,10,40,288,611,352,5,103,2,4541,1,11,0,0.9500269894955446,0,1,2052,6,1.4058325317224623,0
9,1,10,365,15,6692,19,37,103,2,482,0,1,0,0.07861763323827335,0,9,198,5,5.5854,0
120,7,0,16,1,6692,352,2,103,0,285,1,11,1,0.5686317023690474,0,0,2052,5,1.1094226543443386,0
9,2,1,365,20,6692,36,4,12,2,4541,0,11,0,0.5770281356013521,0,9,2052,47,1.5082572603460869,0
120,1,10,365,29,6692,352,6,103,2,300,0,1,1,0.8327741623647378,4,0,199,6,5.5854,0
15,7,1,365,29,582,21,2,8,2,432,0,11,1,0.6780873326052497,0,1,2052,5,0.6231778468798349,0
9,1,1,365,28,6692,352,3,10,0,4541,1,11,1,0.920695739628894,0,1,2052,6,1.423393929314571,0
120,1,10,365,26,662,352,0,13,0,315,0,1,1,0,0,9,2052,6,1.4880233601988881,0
120,7,10,37,38,328,352,11,9,1,465,1,1,0,0.37006650407268554,0,0,126,47,0.3793985042900626,0
11,7,1,45,288,709,352,37,103,2,484,0,1,0,0,4,9,239,47,0.43944246653391783,0
15,1,10,365,288,6692,352,37,12,2,4541,0,1,0,0.4413784906776171,4,0,154,6,0.5441977581183879,0
12,7,0,365,19,526,352,37,103,0,202,1,1,0,0.8295003574282288,0,9,2052,5,0.20330543730131018,0
120,4,1,365,288,6692,352,37,103,2,4541,1,11,0,0,4,1,160,3,5.5854,0
120,1,10,27,35,724,352,37,103,0,2444,1,11,0,0.11807963686936111,4,9,0,5,0.6454116233640106,0
9,5,10,365,288,6692,352,5,13,2,516,1,1,1,0,4,1,163,47,0.288686418415597,0
120,7,10,365,21,484,40,37,103,0,4541,0,11,1,0.9332529354170336,4,1,157,7,1.551586311148882,0
9,1,10,20,35,6692,19,6,103,0,4541,1,11,1,0.4325017042409975,4,1,101,47,0.6736707669156942,0
14,2,1,365,23,6692,352,37,12,0,233,1,11,0,0.2777455304775525,0,9,2052,4,0.40455802759154896,0
10,7,10,365,288,614,27,4,103,2,4541,0,11,0,0.3122720245598334,0,9,2052,5,1.4735732553093326,0
18,7,1,365,288,6692,352,4,103,0,4541,1,11,0,0.712131475525511,0,9,104,47,0.6954800824019345,0
14,1,10,365,27,6692,18,3,103,1,4541,0,1,0,0.6061332079135302,4,9,132,47,0.4671683832661086,0
120,7,10,365,23,6692,19,2,7,1,264,0,11,0,0.6098047563263534,0,9,81,47,1.0060191515081751,0
120,7,10,21,288,432,22,37,103,0,319,1,11,0,0.10003502165284436,4,1,2052,3,0.5539999500702131,0
120,5,10,21,19,697,21,2,103,2,4541,1,11,1,0,0,1,164,47,5.5854,0
120,7,10,16,288,6692,352,3,5,1,265,1,11,1,0.6463832978508142,4,0,2052,3,0.8267678243471801,0
13,7,1,365,288,6692,21,37,13,2,4541,0,11,1,0.4155331021508381,4,1,2052,4,1.4636778390585048,0
120,3,10,33,35,6692,21,4,11,0,4541,1,11,1,0,4,1,2052,3,0.3281697429396518,0
120,7,10,23,16,592,31,4,103,2,238,1,1,0,0.84462629824627,4,1,138,47,0.6168629549782011,0
16,7,10,68,288,6692,58,3,15,0,352,1,11,1,0.5873338001310191,0,9,2052,47,1.257927293240097,0
7,2,10,365,288,6692,352,37,103,0,4541,0,11,1,1,4,9,2052,3,0.48473422453750736,0
14,1,1,27,288,6692,25,6,7,0,465,0,1,1,0.9140259144367666,4,1,2052,47,0.7125532544414118,0
120,7,1,16,288,6692,29,3,103,2,388,1,11,1,0.6234282989648646,4,9,2052,5,1.2362489364967963,0
120,7,10,365,1,313,352,37,14,2,401,1,11,1,0.6098616690452684,0,9,2052,4,0.34867332428758546,0
120,2,10,365,16,482,36,2,11,2,230,1,1,1,0.6556005827258788,0,1,160,47,1.3955275189730723,0
120,1,1,23,18,6692,352,4,11,2,4541,0,11,1,0.9410782296978857,0,9,2052,5,0.562366094125818,0
10,2,10,365,25,619,352,3,103,2,4541,0,11,1,0.8957226991590348,4,1,2052,5,1.414035755004685,0
13,7,1,33,288,485,352,6,13,0,280,0,11,0,0.48330964971390966,0,9,149,47,0.22192673126959958,0
13,7,1,365,22,619,45,37,103,0,526,0,11,1,0.9282576162553939,0,1,117,3,0.6473990336676719,0
120,3,1,35,36,678,352,37,8,0,409,0,1,0,0,0,9,190,47,5.5854,0
14,7,1,365,22,6692,352,37,103,2,4541,0,11,1,0,4,1,2052,3,0.48375683266156794,0
120,7,10,34,288,716,33,37,9,0,4541,1,1,0,0,0,1,2052,47,1.375108983202255,0
15,5,1,21,288,520,26,4,9,0,298,1,11,1,0.914186787850709,0,9,161,4,0.6634206886186841,0
120,7,1,31,29,477,23,6,103,0,4541,1,1,1,0.3642468425156787,0,1,2052,3,0.4961421109412446,0
11,1,10,17,21,558,23,3,103,0,278,0,11,1,0.7267619451442692,4,9,2052,1,1.4132741895130254,0
120,2,1,21,288,786,32,37,103,2,265,1,11,0,0,0,9,2052,47,1.424150421680213,0
10,7,1,21,20,316,29,37,103,0,224,1,11,0,0.7981937088695107,0,9,156,5,0.7353928336325671,0
120,7,1,365,288,563,352,6,103,2,257,1,11,1,0.5795440054731988,4,9,2052,4,1.3635367083724248,0
10,3,1,365,288,377,352,5,103,2,4541,0,11,0,0.8966377376632615,4,1,232,47,5.5854,0
120,1,10,365,32,6692,27,37,103,0,4541,1,11,1,0,4,1,162,4,1.3545278614465033,0
120,7,10,32,21,6692,352,5,13,2,4541,1,11,1,0.7636334013606603,4,0,207,4,0.47868696468612376,0
12,2,1,35,288,6692,23,37,103,2,449,0,1,1,0.7197474786258143,0,9,196,7,1.3070405148471218,0
9,7,1,7,288,6692,1,4,12,2,4541,0,1,0,0.9274101256355659,4,9,136,47,0.5779829264783671,0
9,7,10,18,288,6692,16,37,10,0,339,1,11,0,0.6876941063378335,0,9,2052,4,0.9777697565077652,0
15,1,10,365,288,453,29,37,103,2,4541,0,1,1,0.36326080181766435,4,9,186,3,0.652963664264739,0
120,6,1,32,26,380,352,37,9,2,591,1,1,1,0.9284643593299383,4,9,2052,6,0.3014489652806909,0
120,7,1,40,29,6692,30,3,9,2,369,1,11,1,0.9348675031066848,0,9,2052,47,1.5061761639789715,0
120,1,1,365,288,480,23,6,11,1,4541,1,1,0,0.7485200212506149,4,1,187,3,1.3125177950692954,0
37,3,10,365,92,677,20,13,36,1,986,0,3,0,0.030966081209601412,1,2,2052,19,2.529453976315278,1
32,4,1,365,150,589,352,28,4,1,1493,0,1,1,0.11592845442427815,1,0,2052,7,1.68810327706646,1
50,4,1,365,236,2262,40,0,49,1,1695,1,10,0,0.15688607954053801,2,5,2052,16,2.685327963205447,1
0,7,1,316,237,0,0,36,82,1,2788,0,7,1,0.21975240881776636,4,9,2052,47,0.9312439608519,1
36,3,10,365,100,6692,47,18,14,1,1212,1,11,0,0.15593959064445279,1,4,112,13,2.079248042476835,1
49,6,1,11,86,261,352,22,46,1,694,1,5,0,0.23094745850011555,2,3,2052,18,2.873630966187754,1
42,3,0,34,75,94,15,10,21,1,596,1,2,1,0.20674273244681798,0,0,93,8,1.6812831389992227,1
37,1,10,3,90,137,35,17,35,1,1624,1,4,0,0.10103482509241617,0,1,2052,38,1.9239605432084113,1
34,1,10,37,25,6692,40,37,103,1,0,1,1,0,0.07765447419049228,1,0,2052,44,5.108562893565893,1
31,3,10,365,110,161,39,23,39,1,690,0,8,1,1,4,5,2052,10,1.6585006175437433,1
36,4,0,39,102,954,23,18,36,1,649,1,6,1,0.20939099557769567,4,0,2052,13,1.0437709859377673,1
39,3,1,66,173,6692,352,33,47,1,1465,1,4,1,0.20660892354285554,3,4,2052,19,2.0889919402591963,1
41,7,10,55,101,6692,352,26,20,1,2311,0,1,1,0.2255871396634918,4,9,2052,22,2.200729764851801,1
13,2,0,6,77,6692,34,13,13,1,819,0,8,0,0.15432965619130853,4,1,2052,34,4.276596251348559,1
65,1,10,108,139,1239,156,9,46,1,1960,1,2,1,0.20878811558232527,0,9,2052,13,2.1826948254097336,1
54,1,1,90,157,1123,35,13,21,1,1946,1,3,1,0.15285669222053516,4,9,2052,39,2.905307812535293,1
42,3,10,30,122,903,30,12,23,1,1293,0,2,0,0.2809726239528637,2,3,2052,41,2.5626968400577197,1
31,1,1,12,164,230,33,22,31,1,1807,1,0,1,0.1498607179670901,4,9,2052,29,1.9510993669375036,1
38,2,1,365,163,1036,352,17,15,1,1546,1,3,1,0.15044220627530264,1,5,177,32,2.950541258825431,1
22,5,3,365,133,791,352,20,32,1,686,1,6,1,0.05847708379995917,3,0,310,25,1.2135658817316815,1
36,3,3,41,96,1012,352,13,41,1,738,1,1,1,0.268445384343377,4,1,2052,7,1.8672110333672058,1
40,3,10,365,138,6692,35,28,31,1,1212,1,7,1,0.187943554692323,1,2,164,26,2.6440299525377733,1
48,1,3,26,151,1679,65,12,28,1,2273,1,3,0,0.2304582334693933,1,6,199,18,2.630254711220247,1
112,4,10,7,221,3122,65,30,97,1,2039,0,0,0,0.24573087421553141,1,3,344,10,2.135887564672571,1
