wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
11,2,0,3,23,0,2,11,5,1.166666667,396,0,0,0,0.41395905703885466,0,1,30.587814189949434,5,1.5904439667433015,0
9,2,0,3,26,0,1,13,5,0.6459778712624548,200,1,0,0,0.5210306581399374,1,10,21.684266738086436,4,1.5395563983058993,0
4,2,0,13,43,0,2,12,7,0.6554662773910268,117,0,0,0,0.4231742920222163,0,2,36.42817213407605,7,1.4306804977900156,0
7,1,0,13,41,0,1,9,5,0.6636305108463316,264,1,0,0,0.39886966824383085,1,1,28.86071697506093,5,1.2525995555775697,0
13,1,0,14,42,0,2,9,5,0.622548257046164,400,1,0,1,0.43371558383522313,0,2,25.25118369871332,3,1.3350204444518439,0
10,1,0,10,48,0,1,9,7,0.6626454539608512,262,1,0,1,0.529131020105122,1,1,42.616991285434594,6,1.5954359661938076,0
4,1,0,9,45,0,2,9,7,0.6374972595596741,289,1,0,0,0.666666667,0,1,33.67142136540685,3,1.3609889310833065,0
11,1,0,15,18,0,2,9,7,1.166666667,295,0,0,1,0.4017585328758554,0,1,27.17475373545801,7,1.361527097000412,0
8,1,0,8,33,0,2,9,5,1.166666667,311,0,0,0,0.39559115583786486,1,10,31.79486212764907,7,1.3373999587510008,0
12,1,0,17,66,0,1,15,2,0.6816725296662735,150,1,0,0,0.47196984821816207,1,2,23.04069381613776,3,1.567981264807723,0
8,2,0,8,37,0,1,6,5,1.166666667,390,0,0,0,0.5325396555941988,1,1,30.14633946297983,2,1.475241892836499,0
4,2,0,11,62,0,1,14,5,0.6757344224758196,117,1,0,0,0.666666667,0,10,41.960158639588826,3,1.5768239499651808,0
11,2,0,3,22,0,1,15,5,1.166666667,334,1,0,0,0.4084844130613454,1,10,33.264659371225484,7,1.4000211632304311,0
8,2,0,9,43,0,2,11,7,1.166666667,255,1,0,1,0.5256997493261276,1,2,36.66254764642407,3,1.2567696284284888,0
10,1,0,10,19,0,2,13,5,1.166666667,257,0,0,0,0.41158455778703823,0,2,43.83333333,7,1.1316217636596604,0
8,1,0,14,36,0,2,2,7,1.166666667,225,0,0,1,0.5309609617298112,1,10,25.751756167929443,4,1.1757701090144415,0
4,2,0,11,12,0,1,11,5,0.6629895947616002,450,0,0,1,0.666666667,0,10,38.78753763178308,3,1.5720189872774462,0
8,2,0,3,28,0,1,2,7,0.6457639234293203,369,1,0,1,0.38680788011075706,1,10,33.52680382615952,5,1.3224356730686981,0
10,1,0,8,34,0,2,13,5,1.166666667,343,1,0,0,0.4338831486446425,0,2,42.954485773629,3,1.5127835165527106,0
11,2,0,6,33,0,1,10,5,1.166666667,357,1,0,0,0.49864592530043933,1,10,34.251267310789686,3,1.5537177256364605,0
4,1,0,15,38,0,1,15,7,1.166666667,315,0,0,1,0.3670251315440301,0,10,26.58882319302242,3,1.0760910520811764,0
10,1,0,8,24,0,2,7,7,1.166666667,250,0,0,0,0.4076105774193789,1,10,26.254025253788992,3,1.0888639540338216,0
5,1,0,9,66,0,2,12,9,1.0881456724992313,170,0,0,1,0.6075219229039165,1,0,26.10508743381822,7,1.7778,1
13,1,0,7,66,0,2,10,9,1.1110016434193182,190,0,0,1,0.291666667,0,7,30.906182815210883,7,0.8928167457356435,1
13,1,0,13,22,0,1,8,9,1.096008026639765,211,0,0,0,0.5954034391340791,0,8,36.31212997058988,3,1.7778,1
13,2,0,10,19,0,1,12,9,0.541666667,540,1,0,1,0.5897614127512634,0,7,34.81244794400024,3,1.7778,1
