wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0,0,39,0,200,6646,27,4,13,2.0,524,0.09755508216355559,9,0.9265034361351128,0.7118112054115455,0,0,0,33,0.48786166779336315,0
0,6,39,0,0,0,243,44,0,0.31370639907734266,1165,0.7642986005960963,9,0.024089228107625954,0.40402339406906745,4,21,75,33,1.5272925787933067,0
120,1,0,0,0,0,21,8,0,2.0,1510,0.0,0,0.1914766530005249,0.7608194751328465,4,21,0,0,4.916606007092706,0
0,0,0,274,200,6646,241,0,26,1.327064798975442,1510,0.21520456037341626,0,0.11853440178273704,0.039809532626371824,4,21,0,33,1.4384780323199646,0
120,2,0,274,0,6646,43,16,1,2.0,1510,0.27426878512124836,0,0.10094858656804931,0.9071465354873726,0,0,0,33,0.0,0
120,6,0,274,200,6646,252,2,108,0.11159106235555852,397,0.09888018763628753,0,0.7437450177079334,0.7414368298518725,0,0,75,0,2.250446977279813,0
120,2,0,274,200,6646,250,0,112,0.12500874696747338,0,0.0,0,1.0,0.9981425287499254,0,21,75,0,4.728895309395431,0
120,3,0,274,200,6646,60,33,28,0.5542343165032675,1510,0.1793513820298746,0,0.0,0.22803022164212605,0,21,0,0,5.6667,0
120,6,0,0,0,6646,222,7,89,1.77647223767063,1330,1.0,9,0.11775957388793136,0.7221961247443411,0,21,0,33,2.217355550934869,0
120,1,39,274,0,6646,30,42,113,1.651478903258149,310,0.36420515477216103,9,0.06264764324178351,0.010196144858769143,0,0,75,0,0.9529405714593839,0
0,1,0,0,0,6646,16,2,17,1.4681922811765926,1399,1.0,9,0.13514442632124854,0.5330756573320862,4,0,75,33,0.5308581876886846,0
0,0,0,274,0,6646,95,0,24,0.9089412899323328,1215,1.0,9,0.10467084934130196,0.167374165672179,0,21,75,0,5.007800704423671,0
0,6,0,0,200,0,1,3,11,0.43114728339946917,112,0.08206602442923638,9,0.0,0.3161606219714887,0,0,75,33,0.3868352045726255,0
120,1,39,274,200,0,273,36,0,0.17064531399903637,192,0.11598306227512328,0,1.0,0.35416607881912954,4,0,75,0,5.6667,0
0,0,39,274,0,6646,29,10,0,0.17772175797416304,303,0.9288914333316788,9,0.27809193794087733,0.5744590107577043,0,21,0,0,5.251770824310911,0
0,4,39,0,0,6646,0,0,107,2.0,1510,0.24201760865504918,0,0.9095812426482945,0.8176818697784285,0,0,75,0,1.764138637788995,0
0,0,0,274,200,0,84,35,30,0.9418957765431746,1510,1.0,0,0.1417938672244564,0.1865225816876963,4,21,75,0,0.45878286195007717,0
120,0,39,274,0,6646,273,6,9,1.5207113093897295,464,0.0,9,0.8452179122654464,0.1041273370072801,4,21,75,33,1.787137160501647,0
120,0,0,0,0,0,19,12,43,0.23415245292941395,1510,0.0,0,0.9721469974031952,1.0,0,21,75,33,1.1945164797649348,0
120,1,0,274,200,0,31,0,105,1.7094005226129325,0,0.0,0,0.07260464215381478,0.0032572036409325156,0,21,0,33,3.861013976053628,0
0,1,0,274,0,6646,221,4,43,2.0,1310,0.9045870430436521,9,0.17798959728080807,0.9168640663120211,0,0,75,33,1.5777300084046775,0
0,1,39,0,200,6646,59,37,113,0.0,0,0.8845853314495672,9,0.042663759703557874,0.8310235200137546,4,21,0,33,5.6667,0
120,5,39,0,200,0,47,5,0,0.10041470691817272,1162,0.0,9,0.8848433531941766,0.2558249845281415,0,21,75,0,1.2842482386676135,0
0,0,39,274,0,0,271,0,11,1.6812456257260324,1450,0.9721391769493755,9,0.6890376507892451,0.081669656207471,4,0,0,0,2.594649270769706,0
0,6,0,0,0,0,249,8,33,2.0,312,0.054484504156551906,0,0.9094249374229781,0.6543712989983319,0,21,75,33,5.6667,0
120,1,39,274,200,6646,231,0,99,0.3827216935549374,1510,0.35472284032363044,9,0.12325299847790706,0.32294692614199283,0,21,75,0,2.4686419067490877,0
120,0,0,0,0,0,240,44,0,1.374616856770259,1359,0.8543090824282649,0,0.1354871719947002,0.38410670579480777,4,0,0,33,5.6667,0
0,1,39,274,200,6646,60,3,16,0.0,0,0.0,0,0.12109988699968155,0.20659008418261532,4,21,0,33,0.5145028807447478,0
120,0,0,0,0,0,273,17,113,0.2863135840230953,1489,0.13868256832119985,9,0.7074683299065321,1.0,4,21,75,33,0.0,0
120,3,39,274,200,0,0,2,42,2.0,288,0.9962141557348954,0,0.12795457121995565,0.36533946519682503,4,0,75,0,1.9580262207963877,0
0,1,39,274,200,6646,38,2,10,0.2989153117471608,0,0.2591411460459117,0,0.0,1.0,4,21,75,33,0.9330046794395417,0
0,0,0,0,0,6646,27,8,15,0.2439022339776505,1510,0.0,0,0.013785327494527364,0.8212094872911342,4,0,0,33,5.6667,0
0,0,39,274,200,0,53,26,113,1.4732949106614064,1510,1.0,9,1.0,0.7579857156562841,0,21,75,0,5.6667,0
0,0,0,0,0,6646,273,32,89,0.7360582583830828,504,0.6150591560416996,9,0.0,0.0,0,0,0,33,5.6667,0
120,0,39,274,0,6646,44,33,6,0.0,1208,1.0,9,0.9023433047603747,1.0,4,21,0,33,0.1162349733572908,0
0,2,0,274,0,6646,220,29,113,1.7991536816991973,127,0.3883132222631782,0,0.11471608785950434,0.5416091249306192,0,21,0,0,1.2700137855582208,0
0,5,39,274,0,6646,240,8,8,0.24722369255433874,208,0.6899099501854321,0,0.08784698843782836,0.42913190703157345,4,0,0,33,0.7107798908917649,0
0,0,39,274,200,0,230,11,4,2.0,1363,1.0,9,0.8684555376867581,0.786848674737236,4,0,0,0,1.673295133715824,0
0,1,0,0,200,6646,0,44,13,1.05659165327233,400,0.0,9,0.2770603290670831,0.3450018847581327,4,0,0,33,0.13649654013479767,1
0,2,39,274,0,6646,273,13,16,0.33172620276044107,1112,0.05691328448265924,9,0.7846246410988574,0.5941971677853747,0,21,0,33,1.5570283382672991,3
0,3,0,0,0,6646,273,31,26,0.9302569457685327,744,0.6638403468071852,0,0.33658826886342824,0.13118697591936684,4,21,0,0,1.2155703325296567,11
120,1,39,274,0,6646,238,12,11,0.4611435829909274,344,0.8145117940844054,9,0.43328340287088485,0.39089217766966444,0,0,0,0,0.5011483101473442,3
0,2,0,0,200,6646,46,29,43,1.206932445213204,478,0.8816335312435603,9,0.4105455289585218,0.21170492870385887,0,0,75,0,0.8687549467062339,9
120,0,39,0,200,6646,16,6,59,1.0006803315798853,412,0.7345075093724024,9,0.05513177618482801,1.0,0,0,0,0,1.1535024701733898,3
0,2,0,274,200,6646,0,34,16,0.37596535999563135,434,0.038863333011728424,0,0.18687782490728777,0.29829451571218435,4,0,0,0,1.87343159563424,4
120,2,39,0,200,0,209,23,30,1.8337025589357405,1510,0.8348234343579561,9,0.0,0.5391302990501639,0,0,75,33,2.3322771668373896,10
0,1,0,274,0,6646,55,11,27,0.8996930370152209,574,0.9269901200839871,0,0.8961176497946323,0.07952956774521082,0,0,0,0,2.3527489303427305,17
0,2,0,0,200,0,271,22,29,0.8855585680984196,736,0.0,0,0.12235754890113845,0.42964600857771235,0,21,75,0,0.1672532616453039,5
120,1,39,0,200,0,71,10,105,0.9724233836994468,118,1.0,0,0.7630376256278992,0.21893432660015744,0,21,0,0,2.018958955732057,1
120,0,0,0,0,6646,35,7,98,0.807585482111115,1510,1.0,0,0.7122883008779175,0.06535040420396643,0,21,75,0,0.441082131024513,5
120,1,39,0,0,6646,78,39,103,0.0,1510,0.030205316570025537,0,0.6809442364065956,0.9487409288651629,4,21,75,0,5.3930690785516635,0
0,3,39,0,0,0,265,2,20,0.8011137207208362,1368,0.16620962981116366,9,0.9537624725261031,0.6055456359174956,4,0,75,33,0.0,0
0,1,39,274,0,0,7,0,20,0.9898203256825442,1210,1.0,0,0.13347590527572367,0.5532652947725056,0,21,75,0,5.6667,0
120,3,39,274,0,0,21,12,113,1.311122654006268,1176,0.7334635842191587,0,0.7925070244196112,0.6994179548460305,0,21,75,33,0.0,0
0,2,0,274,0,0,273,37,83,0.5351013882832386,0,0.12585772999913564,0,0.8903479706217866,0.6846066339505071,0,21,75,0,0.0,0
120,2,0,274,200,0,0,34,26,0.5018946174137285,1268,0.8279690266222767,9,0.5867047572515618,0.7580522995673333,4,21,75,33,5.244220693317328,0
120,1,39,0,0,0,0,7,26,0.5094962262946362,1392,0.7719533188647718,9,0.0,0.40029639675566564,0,0,0,33,1.274924405356646,0
120,4,39,274,200,0,0,15,19,2.0,322,0.02097426253057301,9,1.0,0.7736556494403503,0,21,0,33,5.6667,0
120,1,39,0,0,6646,21,13,20,0.23910477090011795,64,0.8412051992264853,0,0.8521300280600721,0.20271717605976827,4,21,0,0,2.130050753554165,1
120,1,39,274,0,6646,36,11,113,0.78528157832025,364,0.7428688762369949,9,0.5337970263554561,0.22026038509046228,0,21,0,0,5.6667,4
120,0,39,274,0,6646,75,9,113,0.0,290,0.0683890284786216,9,0.03269508487417451,0.28946475325681426,4,0,75,0,2.234172141857375,1
120,0,0,0,0,6646,27,0,10,0.979207871962366,475,0.13994530690254525,0,0.8437066218027385,0.30650223816532673,0,21,0,0,2.9674298409920548,2
0,3,39,0,0,6646,0,12,36,1.1578702555769103,721,0.12327247643325549,0,0.041649065813624125,0.18746769924069767,4,21,75,0,0.9623972938896053,2
0,0,0,0,0,6646,44,18,33,1.011143186940164,598,0.854972686419363,0,0.9204292988233579,0.01740100370539556,4,0,0,0,1.3239362992686132,1
0,0,39,0,0,0,80,16,10,0.7318494905265679,1236,0.9268281519552952,0,0.8595697591832463,0.07756034712550004,4,0,75,0,3.4145963240235964,4
0,1,0,274,0,0,273,3,113,0.8061569649977189,118,1.0,0,0.7544026981643133,0.1724608574529812,0,0,75,0,0.5912044781027446,3
0,1,0,274,0,6646,256,7,99,1.9956426410033536,1510,0.896139265309987,0,1.0,0.7123088153259666,4,21,0,33,1.905337660083547,1
